Number of Updates,Detm,Rand,TwoRand,TwoDifDetm
10,0.65102,0.68419,0.70728,0.70522
20,0.51586,0.71686,0.71618,0.69309
30,0.40856,0.72694,0.71038,0.63698
40,0.3354,0.72253,0.70873,0.57643
50,0.28428,0.71323,0.70101,0.53976
60,0.2461,0.71,0.69419,0.51286
70,0.21821,0.70872,0.70214,0.49205
80,0.19521,0.70016,0.69576,0.4648
90,0.17706,0.702,0.6906,0.43999
100,0.16197,0.69961,0.68301,0.41495
110,0.14941,0.70553,0.69249,0.39435
120,0.1391,0.69861,0.6938,0.37482
130,0.13052,0.70129,0.69936,0.35742
140,0.12278,0.70445,0.70245,0.34139
150,0.11563,0.70545,0.70452,0.32637
160,0.10936,0.70562,0.70345,0.31161
170,0.10409,0.70947,0.70628,0.29897
180,0.09931,0.70688,0.70401,0.28743
190,0.09477,0.70732,0.70418,0.27637
200,0.09066,0.70859,0.70538,0.26592
210,0.08692,0.70967,0.70856,0.25695
220,0.08335,0.70907,0.70799,0.2481
230,0.08018,0.70916,0.70803,0.24004
240,0.07721,0.70646,0.7051,0.23246
250,0.0745,0.70505,0.70535,0.22564
260,0.07204,0.70755,0.70853,0.21927
270,0.06961,0.70869,0.71006,0.21343
280,0.0674,0.70806,0.70788,0.20764
290,0.06536,0.70998,0.7082,0.20241
300,0.06338,0.70819,0.70689,0.19696
310,0.06153,0.70639,0.70538,0.1918
320,0.05976,0.70563,0.70482,0.18721
330,0.05815,0.70753,0.70431,0.18272
340,0.05664,0.70841,0.70498,0.17841
350,0.05511,0.70708,0.7023,0.17426
360,0.05374,0.70711,0.70243,0.17027
370,0.05252,0.70733,0.70339,0.16667
380,0.05124,0.7062,0.70234,0.16306
390,0.05005,0.7056,0.70423,0.15962
400,0.04892,0.70711,0.70662,0.15625
410,0.04783,0.70649,0.70562,0.15318
420,0.04677,0.70819,0.7067,0.1505
430,0.04574,0.70951,0.70801,0.1478
440,0.04473,0.7102,0.70874,0.14506
450,0.04385,0.70808,0.70672,0.14227
460,0.04299,0.7076,0.70694,0.13976
470,0.04217,0.70588,0.70558,0.13746
480,0.04133,0.70554,0.70423,0.13515
490,0.04054,0.70495,0.70384,0.13285
500,0.03976,0.70582,0.70404,0.13078
510,0.03907,0.70524,0.70414,0.12887
520,0.03839,0.70545,0.70483,0.12685
530,0.03773,0.70478,0.70452,0.12489
540,0.03706,0.70307,0.70401,0.12294
550,0.03642,0.70301,0.70264,0.12118
560,0.03579,0.7035,0.70263,0.11939
570,0.03519,0.70392,0.70347,0.11765
580,0.03464,0.70345,0.70407,0.11593
590,0.03408,0.70303,0.70467,0.11425
600,0.03355,0.70449,0.70643,0.11267
610,0.03303,0.70566,0.70716,0.11118
620,0.03252,0.70412,0.7063,0.10969
630,0.03203,0.70378,0.70607,0.10836
640,0.03156,0.70388,0.70641,0.10692
650,0.03109,0.7044,0.70698,0.10547
660,0.03065,0.70399,0.70607,0.10407
670,0.03023,0.70384,0.70613,0.10276
680,0.02981,0.7033,0.7059,0.10148
690,0.0294,0.70324,0.70553,0.10026
700,0.02903,0.70341,0.7057,0.09906
710,0.02865,0.70352,0.70603,0.09792
720,0.02828,0.70459,0.70602,0.0968
730,0.02791,0.70475,0.70533,0.09569
740,0.02756,0.70429,0.70481,0.09455
750,0.02725,0.70426,0.70427,0.09356
760,0.02695,0.70458,0.70477,0.09263
770,0.02663,0.70525,0.70558,0.09162
780,0.0263,0.70429,0.70511,0.09066
790,0.02599,0.70507,0.7062,0.08971
800,0.02569,0.70442,0.70556,0.0888
810,0.0254,0.70426,0.70557,0.08781
820,0.02511,0.70457,0.70558,0.08687
830,0.02482,0.70561,0.70664,0.08601
840,0.02455,0.7059,0.7062,0.0851
850,0.0243,0.70544,0.70593,0.0843
860,0.02405,0.70545,0.7058,0.08351
870,0.02378,0.70532,0.70594,0.08267
880,0.02353,0.70547,0.70578,0.08184
890,0.02328,0.7063,0.7066,0.08102
900,0.02302,0.70588,0.70617,0.08023
910,0.02278,0.70574,0.70576,0.07949
920,0.02255,0.70599,0.70617,0.07879
930,0.02233,0.70638,0.70697,0.07809
940,0.02212,0.70689,0.70743,0.07735
950,0.0219,0.70699,0.70749,0.07665
960,0.0217,0.70642,0.70706,0.07593
970,0.02148,0.70664,0.70728,0.07525
980,0.02128,0.70713,0.70789,0.07454
990,0.02109,0.70712,0.708,0.07389
1000,0.0209,0.70736,0.70811,0.07332